Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
16S_FCS_Hsap_S1_scAem_plus10d_Rep1_01-plus10_R1_raw	92.73003238798657	54.0	299.950216915851	45.45454545454545	167346.0
16S_FCS_Hsap_S1_scAem_plus10d_Rep1_01-plus10_R2_raw	81.96013050804919	55.0	299.7024786968317	45.45454545454545	167346.0
16S_FCS_Hsap_S1_scAem_plus3mon_Rep1_01-plus3m_R1_raw	90.89020924825627	53.0	299.7699922500646	45.45454545454545	96775.0
16S_FCS_Hsap_S1_scAem_plus3mon_Rep1_01-plus3m_R2_raw	80.90415913200724	54.0	299.5436011366572	45.45454545454545	96775.0
16S_FCS_Hsap_S1_scAem_plus6mon_Rep1_01-plus6m_R1_raw	90.71388803483434	52.0	299.5309661711304	45.45454545454545	120341.0
16S_FCS_Hsap_S1_scAem_plus6mon_Rep1_01-plus6m_R2_raw	80.62671907330004	54.0	299.3085066602405	45.45454545454545	120341.0
16S_FCS_Hsap_S1_scWim_120d_Rep1_01-120_R1_raw	91.88673242125358	52.0	299.6806594018454	45.45454545454545	150864.0
16S_FCS_Hsap_S1_scWim_120d_Rep1_01-120_R2_raw	82.27211263124403	54.0	299.47690635274154	45.45454545454545	150864.0
16S_FCS_Hsap_S1_scWim_14d_Rep1_01-14_R1_raw	91.8477431472677	53.0	299.6464518401127	45.45454545454545	170370.0
16S_FCS_Hsap_S1_scWim_14d_Rep1_01-14_R2_raw	82.04085226272231	54.0	299.4637553559899	45.45454545454545	170370.0
16S_FCS_Hsap_S1_scWim_150d_Rep1_01-150_R1_raw	89.7941269253453	53.0	299.79420921971223	45.45454545454545	72909.0
16S_FCS_Hsap_S1_scWim_150d_Rep1_01-150_R2_raw	80.30695798872567	54.0	299.6343798433664	45.45454545454545	72909.0
16S_FCS_Hsap_S1_scWim_180d_Rep1_01-180_R1_raw	89.97655695733982	53.0	299.7606033498874	45.45454545454545	64838.0
16S_FCS_Hsap_S1_scWim_180d_Rep1_01-180_R2_raw	78.97066535056602	54.0	299.5065702211666	45.45454545454545	64838.0
16S_FCS_Hsap_S1_scWim_210d_Rep1_01-210_R1_raw	89.78779159387524	53.0	299.9381101633953	45.45454545454545	77848.0
